,Rad,Tair,RH,Wind,Pressure,Prec,Cl,Date,Time,huma,rho_air
0,0.0,-11.054,86.3,0.6,84070.0,0.0,0.05767,2017-12-06,00:00:00,0.00169,1.11741
1,0.0,-11.754,88.4,1.0,84070.0,0.0,0.05767,2017-12-06,01:00:00,0.00164,1.1204
2,0.0,-11.654,88.9,0.7,84060.0,0.0,0.05767,2017-12-06,02:00:00,0.00166,1.11984
3,0.0,-12.654,89.4,0.8,84030.0,0.0,0.05767,2017-12-06,03:00:00,0.00154,1.12373
4,0.0,-12.554,89.8,0.7,84010.0,0.0,0.05767,2017-12-06,04:00:00,0.00156,1.12304
5,0.0,-13.254,89.0,0.7,84000.0,0.0,0.05767,2017-12-06,05:00:00,0.00146,1.12593
6,0.0,-13.054,88.4,0.9,84000.0,0.0,0.05767,2017-12-06,06:00:00,0.00147,1.12506
7,9.0,-12.954,86.7,0.8,84000.0,0.0,0.05767,2017-12-06,07:00:00,0.00146,1.12463
8,83.0,-12.554,89.5,0.5,84010.0,0.0,0.33328,2017-12-06,08:00:00,0.00155,1.12304
9,282.0,-10.854,90.7,0.3,84000.0,0.0,0.20586,2017-12-06,09:00:00,0.00181,1.11562
10,363.0,-8.054,82.6,0.3,83980.0,0.0,0.07359,2017-12-06,10:00:00,0.00205,1.10358
11,393.0,-5.454,81.0,0.3,83920.0,0.0,0.06292,2017-12-06,11:00:00,0.00246,1.09208
12,365.0,-3.854,70.6,0.4,83860.0,0.0,0.06115,2017-12-06,12:00:00,0.00242,1.08481
13,284.0,-1.754,57.7,0.2,83810.0,0.0,0.06916,2017-12-06,13:00:00,0.00231,1.07578
14,162.0,-1.254,53.2,0.2,83780.0,0.0,0.07698,2017-12-06,14:00:00,0.00221,1.07342
15,23.0,-3.054,61.0,0.5,83800.0,0.0,0.37389,2017-12-06,15:00:00,0.00222,1.08083
16,0.0,-6.854,72.1,0.8,83800.0,0.0,0.11748,2017-12-06,16:00:00,0.00197,1.09625
17,0.0,-7.054,73.4,0.9,83810.0,0.0,0.11748,2017-12-06,17:00:00,0.00197,1.09721
18,0.0,-9.254,73.1,1.3,83810.0,0.0,0.11748,2017-12-06,18:00:00,0.00165,1.10635
19,0.0,-10.054,73.3,1.2,83810.0,0.0,0.11748,2017-12-06,19:00:00,0.00156,1.10972
20,0.0,-10.454,74.0,1.2,83800.0,0.0,0.11748,2017-12-06,20:00:00,0.00152,1.11127
21,0.0,-11.854,77.6,1.4,83780.0,0.0,0.11748,2017-12-06,21:00:00,0.00143,1.11696
22,0.0,-12.054,76.1,0.9,83780.0,0.0,0.11748,2017-12-06,22:00:00,0.00138,1.11782
23,0.0,-12.054,75.8,1.1,83740.0,0.0,0.11748,2017-12-06,23:00:00,0.00137,1.11728
24,0.0,-12.954,79.2,1.4,83700.0,0.0,0.05988,2017-12-07,00:00:00,0.00134,1.12061
25,0.0,-12.554,79.2,0.9,83680.0,0.0,0.05988,2017-12-07,01:00:00,0.00138,1.11862
26,0.0,-12.954,80.0,1.6,83660.0,0.0,0.05988,2017-12-07,02:00:00,0.00135,1.12008
27,0.0,-13.754,81.8,0.8,83620.0,0.0,0.05988,2017-12-07,03:00:00,0.00129,1.12299
28,0.0,-13.754,82.1,0.9,83590.0,0.0,0.05988,2017-12-07,04:00:00,0.0013,1.12259
29,0.0,-13.654,81.3,1.0,83590.0,0.0,0.05988,2017-12-07,05:00:00,0.0013,1.12216
30,0.0,-13.754,82.9,0.9,83580.0,0.0,0.05988,2017-12-07,06:00:00,0.00131,1.12246
31,8.0,-13.854,81.9,1.0,83580.0,0.0,0.05988,2017-12-07,07:00:00,0.00129,1.12289
32,80.0,-13.454,83.3,0.5,83570.0,0.0,0.35738,2017-12-07,08:00:00,0.00135,1.12103
33,281.0,-10.454,76.6,0.3,83550.0,0.0,0.20868,2017-12-07,09:00:00,0.00158,1.10796
34,362.0,-7.954,69.7,0.4,83500.0,0.0,0.07615,2017-12-07,10:00:00,0.00175,1.09686
35,390.0,-4.254,57.0,0.5,83400.0,0.0,0.07007,2017-12-07,11:00:00,0.0019,1.08047
36,361.0,-0.054,43.7,3.7,83320.0,0.0,0.07144,2017-12-07,12:00:00,0.00199,1.06283
37,278.0,0.746,45.2,7.0,83260.0,0.0,0.08883,2017-12-07,13:00:00,0.00218,1.05896
38,158.0,0.046,49.9,6.3,83250.0,0.0,0.09977,2017-12-07,14:00:00,0.00229,1.06155
39,22.0,-1.954,59.0,4.0,83240.0,0.0,0.40111,2017-12-07,15:00:00,0.00234,1.06925
40,0.0,-2.954,66.8,4.1,83240.0,0.0,0.12716,2017-12-07,16:00:00,0.00246,1.07321
41,0.0,-3.754,73.9,4.3,83220.0,0.0,0.12716,2017-12-07,17:00:00,0.00257,1.07614
42,0.0,-4.054,80.3,3.9,83220.0,0.0,0.12716,2017-12-07,18:00:00,0.00273,1.07734
43,0.0,-4.054,81.0,3.7,83190.0,0.0,0.12716,2017-12-07,19:00:00,0.00276,1.07695
44,0.0,-4.754,80.2,3.6,83160.0,0.0,0.12716,2017-12-07,20:00:00,0.00259,1.07937
45,0.0,-6.854,76.0,4.6,83130.0,0.0,0.12716,2017-12-07,21:00:00,0.00209,1.08749
46,0.0,-5.554,76.0,4.9,83060.0,0.0,0.12716,2017-12-07,22:00:00,0.00231,1.08129
47,0.0,-4.154,75.2,5.2,82990.0,0.0,0.12716,2017-12-07,23:00:00,0.00254,1.07476
48,0.0,-3.454,71.1,5.9,82910.0,0.0,0.05877,2017-12-08,00:00:00,0.00254,1.07093
49,0.0,-4.954,74.5,3.0,82820.0,0.0,0.05877,2017-12-08,01:00:00,0.00238,1.07575
50,0.0,-6.154,81.5,1.1,82740.0,0.0,0.05877,2017-12-08,02:00:00,0.00238,1.07955
51,0.0,-3.654,78.3,2.3,82620.0,0.0,0.05877,2017-12-08,03:00:00,0.00276,1.06798
52,0.0,-2.554,77.6,2.9,82530.0,0.0,0.05877,2017-12-08,04:00:00,0.00298,1.06248
53,0.0,-1.854,74.5,4.3,82450.0,0.0,0.05877,2017-12-08,05:00:00,0.00301,1.05871
54,0.0,-1.954,75.0,3.4,82410.0,0.0,0.05877,2017-12-08,06:00:00,0.00301,1.05859
55,13.0,-1.554,73.9,3.1,82350.0,0.0,0.4904,2017-12-08,07:00:00,0.00306,1.05626
56,48.0,-1.154,72.9,4.3,82290.0,0.0,0.552,2017-12-08,08:00:00,0.00311,1.05394
57,51.0,-0.954,73.4,3.9,82250.0,0.0,0.83981,2017-12-08,09:00:00,0.00318,1.05265
58,71.0,-0.854,73.2,4.8,82170.0,0.0,0.81927,2017-12-08,10:00:00,0.0032,1.05124
59,214.0,-1.354,82.8,6.1,82060.0,0.0,0.48345,2017-12-08,11:00:00,0.00349,1.05177
60,373.0,-1.254,81.4,7.8,81950.0,0.0,0.0304,2017-12-08,12:00:00,0.00346,1.04997
61,285.0,-1.254,79.3,8.0,81850.0,0.0,0.05,2017-12-08,13:00:00,0.00338,1.04869
62,150.0,-1.454,78.8,7.8,81790.0,0.0,0.14535,2017-12-08,14:00:00,0.00331,1.04869
63,21.0,-1.554,74.5,4.0,81780.0,0.0,0.42833,2017-12-08,15:00:00,0.00311,1.04895
64,0.0,-2.954,63.0,6.2,81840.0,0.0,0.22184,2017-12-08,16:00:00,0.00236,1.05516
65,0.0,-3.954,66.9,5.9,81880.0,0.0,0.22184,2017-12-08,17:00:00,0.00233,1.05959
66,0.0,-4.654,69.1,5.5,81900.0,0.0,0.22184,2017-12-08,18:00:00,0.00228,1.06262
67,0.0,-5.454,62.6,5.6,81950.0,0.0,0.22184,2017-12-08,19:00:00,0.00194,1.06644
68,0.0,-5.754,48.2,4.7,81920.0,0.0,0.22184,2017-12-08,20:00:00,0.00146,1.06725
69,0.0,-5.854,42.1,5.6,81910.0,0.0,0.22184,2017-12-08,21:00:00,0.00127,1.06752
70,0.0,-6.454,46.3,5.0,81870.0,0.0,0.22184,2017-12-08,22:00:00,0.00133,1.0694
71,0.0,-6.754,45.9,5.9,81800.0,0.0,0.22184,2017-12-08,23:00:00,0.00129,1.06969
72,0.0,-7.054,44.7,4.0,81710.0,0.0,0.08301,2017-12-09,00:00:00,0.00123,1.06971
73,0.0,-7.454,55.5,3.4,81720.0,0.0,0.08301,2017-12-09,01:00:00,0.00148,1.07145
74,0.0,-7.754,49.2,5.7,81760.0,0.0,0.08301,2017-12-09,02:00:00,0.00128,1.07319
75,0.0,-8.854,58.2,1.6,81750.0,0.0,0.08301,2017-12-09,03:00:00,0.00139,1.07753
76,0.0,-8.754,52.2,1.9,81760.0,0.0,0.08301,2017-12-09,04:00:00,0.00126,1.07725
77,0.0,-9.554,66.6,1.7,81810.0,0.0,0.08301,2017-12-09,05:00:00,0.00151,1.08118
78,0.0,-9.954,66.3,1.5,81870.0,0.0,0.08301,2017-12-09,06:00:00,0.00145,1.08362
79,9.0,-9.954,52.7,3.7,81930.0,0.0,0.08301,2017-12-09,07:00:00,0.00115,1.08441
80,44.0,-10.554,65.9,2.6,82000.0,0.0,0.5313,2017-12-09,08:00:00,0.00138,1.08782
81,136.0,-10.654,73.2,1.6,82060.0,0.0,0.54973,2017-12-09,09:00:00,0.00151,1.08903
82,265.0,-9.654,50.4,1.7,82070.0,0.0,0.32545,2017-12-09,10:00:00,0.00113,1.08503
83,313.0,-9.154,37.1,2.3,82090.0,0.0,0.24448,2017-12-09,11:00:00,0.00086,1.08324
84,307.0,-8.754,38.3,2.3,82090.0,0.0,0.20196,2017-12-09,12:00:00,0.00092,1.0816
85,142.0,-9.054,40.4,2.9,82120.0,0.0,0.52667,2017-12-09,13:00:00,0.00095,1.08322
86,121.0,-9.354,42.9,1.7,82130.0,0.0,0.31058,2017-12-09,14:00:00,0.00098,1.08459
87,17.0,-10.554,48.1,1.1,82180.0,0.0,0.53722,2017-12-09,15:00:00,0.001,1.09021
88,0.0,-12.254,56.0,0.7,82210.0,0.0,0.26187,2017-12-09,16:00:00,0.00102,1.09771
89,0.0,-13.654,58.2,1.0,82240.0,0.0,0.26187,2017-12-09,17:00:00,0.00094,1.10403
90,0.0,-15.354,63.7,0.8,82250.0,0.0,0.26187,2017-12-09,18:00:00,0.0009,1.11145
91,0.0,-16.654,67.9,1.1,82260.0,0.0,0.26187,2017-12-09,19:00:00,0.00086,1.11722
92,0.0,-17.854,71.3,1.3,82220.0,0.0,0.26187,2017-12-09,20:00:00,0.00082,1.12192
93,0.0,-18.554,73.5,1.1,82220.0,0.0,0.26187,2017-12-09,21:00:00,0.00079,1.12501
94,0.0,-18.754,73.5,1.1,82190.0,0.0,0.26187,2017-12-09,22:00:00,0.00078,1.12548
95,0.0,-18.754,73.3,0.9,82160.0,0.0,0.26187,2017-12-09,23:00:00,0.00078,1.12507
96,0.0,-19.154,74.7,1.0,82100.0,0.0,0.07631,2017-12-10,00:00:00,0.00077,1.12602
97,0.0,-18.154,71.7,1.4,82050.0,0.0,0.07631,2017-12-10,01:00:00,0.0008,1.12092
98,0.0,-16.354,67.3,1.3,81980.0,0.0,0.07631,2017-12-10,02:00:00,0.00088,1.11212
99,0.0,-16.054,69.7,0.6,81890.0,0.0,0.07631,2017-12-10,03:00:00,0.00093,1.1096
100,0.0,-15.854,71.3,0.7,81800.0,0.0,0.07631,2017-12-10,04:00:00,0.00097,1.10752
101,0.0,-14.254,67.2,1.5,81740.0,0.0,0.07631,2017-12-10,05:00:00,0.00104,1.09987
102,0.0,-9.054,34.4,4.8,81700.0,0.0,0.07631,2017-12-10,06:00:00,0.00081,1.07768
103,7.0,-8.354,40.3,7.6,81700.0,0.0,0.07631,2017-12-10,07:00:00,0.001,1.07483
104,55.0,-8.354,52.7,7.5,81670.0,0.0,0.41413,2017-12-10,08:00:00,0.00131,1.07444
105,84.0,-8.054,65.2,5.4,81630.0,0.0,0.71317,2017-12-10,09:00:00,0.00166,1.0727
106,106.0,-7.654,63.9,5.4,81540.0,0.0,0.73018,2017-12-10,10:00:00,0.00168,1.0699
107,111.0,-6.854,64.3,5.9,81420.0,0.0,0.73597,2017-12-10,11:00:00,0.0018,1.06512
108,63.0,-6.554,71.2,4.9,81330.0,0.0,0.83448,2017-12-10,12:00:00,0.00205,1.06274
109,42.0,-6.254,81.1,4.2,81230.0,0.0,0.85608,2017-12-10,13:00:00,0.00239,1.06024
110,25.0,-6.354,88.1,2.1,81140.0,0.0002,0.85152,2017-12-10,14:00:00,0.00258,1.05946
111,4.0,-5.554,86.1,2.5,81080.0,0.0002,0.48458,2017-12-10,15:00:00,0.00268,1.05552
112,0.0,-4.854,84.5,4.1,81060.0,0.0001,0.45071,2017-12-10,16:00:00,0.00278,1.0525
113,0.0,-4.454,82.4,6.3,81040.0,0.0001,0.45071,2017-12-10,17:00:00,0.00279,1.05068
114,0.0,-4.354,85.0,5.4,81020.0,0.0,0.45071,2017-12-10,18:00:00,0.0029,1.05003
115,0.0,-4.354,86.5,2.4,80980.0,0.0001,0.45071,2017-12-10,19:00:00,0.00296,1.04951
116,0.0,-4.054,82.9,4.1,80970.0,0.0,0.45071,2017-12-10,20:00:00,0.0029,1.04821
117,0.0,-3.654,80.8,3.4,80960.0,0.0,0.45071,2017-12-10,21:00:00,0.00291,1.04652
118,0.0,-3.154,82.0,3.7,80930.0,0.0001,0.45071,2017-12-10,22:00:00,0.00307,1.0442
119,0.0,-2.754,83.3,2.3,80900.0,0.0,0.45071,2017-12-10,23:00:00,0.00321,1.04227
120,0.0,-2.254,81.8,3.5,80840.0,0.0,0.07194,2017-12-11,00:00:00,0.00328,1.03957
121,0.0,-1.954,81.3,3.6,80860.0,0.0001,0.07194,2017-12-11,01:00:00,0.00333,1.03868
122,0.0,-1.154,81.6,2.8,80830.0,0.0,0.07194,2017-12-11,02:00:00,0.00355,1.03524
123,0.0,-0.954,86.4,3.5,80800.0,0.0002,0.07194,2017-12-11,03:00:00,0.00381,1.03409
124,0.0,-1.354,91.9,1.7,80740.0,0.0005,0.07194,2017-12-11,04:00:00,0.00394,1.03485
125,0.0,-1.254,93.8,2.1,80690.0,0.0005,0.07194,2017-12-11,05:00:00,0.00406,1.03383
126,0.0,-0.154,93.7,2.7,80630.0,0.0005,0.07194,2017-12-11,06:00:00,0.0044,1.02889
127,1.0,1.046,89.5,5.1,80580.0,0.0002,0.07194,2017-12-11,07:00:00,0.00459,1.02376
128,20.0,1.446,88.4,4.1,80580.0,0.0006,0.78696,2017-12-11,08:00:00,0.00466,1.02226
129,29.0,1.746,87.8,7.1,80580.0,0.0009,0.90098,2017-12-11,09:00:00,0.00473,1.02115
130,58.0,2.046,85.7,9.8,80540.0,0.0006,0.85236,2017-12-11,10:00:00,0.00472,1.01953
131,57.0,1.746,86.9,10.4,80540.0,0.0008,0.86442,2017-12-11,11:00:00,0.00468,1.02064
132,38.0,1.546,87.7,10.3,80570.0,0.0007,0.90016,2017-12-11,12:00:00,0.00466,1.02177
133,25.0,1.646,86.5,9.5,80550.0,0.001,0.91434,2017-12-11,13:00:00,0.00463,1.02114
134,9.0,1.646,85.0,10.7,80530.0,0.0005,0.44509,2017-12-11,14:00:00,0.00455,1.02089
135,0.0,1.446,88.4,9.2,80540.0,0.0016,0.48663,2017-12-11,15:00:00,0.00466,1.02176
136,0.0,1.446,87.3,8.4,80520.0,0.0014,0.44385,2017-12-11,16:00:00,0.00461,1.0215
137,0.0,1.246,88.9,6.5,80500.0,0.001,0.44385,2017-12-11,17:00:00,0.00463,1.02199
138,0.0,1.046,90.9,3.3,80510.0,0.0032,0.44385,2017-12-11,18:00:00,0.00466,1.02287
139,0.0,0.946,92.1,2.8,80460.0,0.0042,0.44385,2017-12-11,19:00:00,0.00469,1.0226
140,0.0,1.846,87.5,5.7,80420.0,0.0049,0.44385,2017-12-11,20:00:00,0.00476,1.01875
141,0.0,1.646,89.6,5.7,80430.0,0.0048,0.44385,2017-12-11,21:00:00,0.0048,1.01962
142,0.0,1.746,88.9,4.5,80470.0,0.0044,0.44385,2017-12-11,22:00:00,0.0048,1.01976
143,0.0,1.746,90.3,4.3,80500.0,0.0035,0.44385,2017-12-11,23:00:00,0.00487,1.02014
144,0.0,1.146,93.2,3.0,80590.0,0.001,0.15565,2017-12-12,00:00:00,0.00481,1.02351
145,0.0,0.746,93.5,4.2,80720.0,0.0015,0.15565,2017-12-12,01:00:00,0.00468,1.02666
146,0.0,0.846,90.6,4.2,80890.0,0.0003,0.15565,2017-12-12,02:00:00,0.00456,1.02844
147,0.0,0.646,87.6,4.2,81010.0,0.0001,0.15565,2017-12-12,03:00:00,0.00434,1.03072
148,0.0,0.246,86.4,2.9,81140.0,0.0001,0.15565,2017-12-12,04:00:00,0.00415,1.03389
149,0.0,-0.054,88.2,2.6,81250.0,0.0002,0.15565,2017-12-12,05:00:00,0.00414,1.03643
150,0.0,-0.254,83.5,3.9,81340.0,0.0,0.15565,2017-12-12,06:00:00,0.00385,1.03833
151,8.0,-0.554,84.3,3.4,81450.0,0.0,0.15565,2017-12-12,07:00:00,0.0038,1.04088
152,56.0,-0.654,80.4,4.1,81550.0,0.0,0.3692,2017-12-12,08:00:00,0.00359,1.04254
153,172.0,-0.354,77.7,3.8,81640.0,0.0,0.41268,2017-12-12,09:00:00,0.00354,1.04255
154,277.0,-0.154,74.7,3.7,81710.0,0.0,0.29491,2017-12-12,10:00:00,0.00345,1.04268
155,301.0,-0.054,73.3,3.7,81710.0,0.0,0.28403,2017-12-12,11:00:00,0.00341,1.04229
156,202.0,-0.454,75.9,4.8,81720.0,0.0,0.46928,2017-12-12,12:00:00,0.00343,1.04395
157,164.0,-0.854,77.0,4.2,81740.0,0.0,0.43804,2017-12-12,13:00:00,0.00338,1.04574
158,79.0,-0.954,76.4,4.9,81800.0,0.0,0.53079,2017-12-12,14:00:00,0.00333,1.04689
159,13.0,-1.354,80.0,4.2,81870.0,0.0,0.64611,2017-12-12,15:00:00,0.00338,1.04933
160,0.0,-1.654,82.0,3.6,81920.0,0.0,0.37758,2017-12-12,16:00:00,0.00339,1.05113
161,0.0,-2.454,86.2,3.0,81990.0,0.0,0.37758,2017-12-12,17:00:00,0.00336,1.05514
162,0.0,-2.954,77.6,2.9,82060.0,0.0,0.37758,2017-12-12,18:00:00,0.00291,1.05799
163,0.0,-3.554,71.9,6.0,82140.0,0.0,0.37758,2017-12-12,19:00:00,0.00257,1.06138
164,0.0,-4.154,74.8,6.1,82210.0,0.0,0.37758,2017-12-12,20:00:00,0.00256,1.06466
165,0.0,-4.054,68.7,3.6,82280.0,0.0,0.37758,2017-12-12,21:00:00,0.00236,1.06517
166,0.0,-5.554,82.9,1.0,82350.0,0.0,0.37758,2017-12-12,22:00:00,0.00254,1.07205
167,0.0,-7.554,90.1,0.7,82370.0,0.0,0.37758,2017-12-12,23:00:00,0.00237,1.08038
168,0.0,-10.454,97.8,1.1,82390.0,0.0,0.06972,2017-12-13,00:00:00,0.00205,1.09258
169,0.0,-11.154,94.3,1.4,82440.0,0.0,0.06972,2017-12-13,01:00:00,0.00187,1.09616
170,0.0,-11.754,87.3,0.9,82470.0,0.0,0.06972,2017-12-13,02:00:00,0.00165,1.09908
171,0.0,-13.054,89.7,0.8,82470.0,0.0,0.06972,2017-12-13,03:00:00,0.00152,1.10457
172,0.0,-14.354,87.6,0.9,82480.0,0.0,0.06972,2017-12-13,04:00:00,0.00134,1.11025
173,0.0,-14.954,86.0,1.0,82520.0,0.0,0.06972,2017-12-13,05:00:00,0.00125,1.11337
174,0.0,-15.154,84.4,0.9,82540.0,0.0,0.06972,2017-12-13,06:00:00,0.00121,1.1145
175,7.0,-15.554,84.3,0.6,82560.0,0.0,0.06972,2017-12-13,07:00:00,0.00116,1.11651
176,69.0,-15.854,86.1,0.5,82560.0,0.0,0.22276,2017-12-13,08:00:00,0.00116,1.11781
177,274.0,-14.554,85.8,0.5,82570.0,0.0,0.06112,2017-12-13,09:00:00,0.00129,1.11232
178,358.0,-12.354,79.1,0.3,82520.0,0.0,0.08873,2017-12-13,10:00:00,0.00142,1.10227
179,390.0,-10.754,72.4,0.6,82450.0,0.0,0.07233,2017-12-13,11:00:00,0.00148,1.09462
180,363.0,-9.654,70.2,0.3,82380.0,0.0,0.04627,2017-12-13,12:00:00,0.00157,1.08913
181,207.0,-8.354,60.8,0.6,82310.0,0.0,0.2907,2017-12-13,13:00:00,0.0015,1.08286
182,111.0,-7.854,61.2,0.5,82250.0,0.0,0.34073,2017-12-13,14:00:00,0.00157,1.08003
183,28.0,-8.254,72.3,0.5,82220.0,0.0,0.23778,2017-12-13,15:00:00,0.0018,1.08127
184,0.0,-8.654,80.0,1.1,82200.0,0.0,0.15943,2017-12-13,16:00:00,0.00194,1.08264
185,0.0,-8.454,81.6,0.9,82160.0,0.0,0.15943,2017-12-13,17:00:00,0.00201,1.08129
186,0.0,-10.054,88.4,0.9,82150.0,0.0,0.15943,2017-12-13,18:00:00,0.00192,1.08774
187,0.0,-9.154,80.8,2.6,82110.0,0.0,0.15943,2017-12-13,19:00:00,0.00188,1.0835
188,0.0,-9.154,81.9,1.6,82000.0,0.0,0.15943,2017-12-13,20:00:00,0.00191,1.08205
189,0.0,-8.154,73.0,1.8,81940.0,0.0,0.15943,2017-12-13,21:00:00,0.00184,1.07718
190,0.0,-5.454,58.3,4.9,81970.0,0.0,0.15943,2017-12-13,22:00:00,0.00181,1.0667
191,0.0,-5.754,65.3,2.2,81900.0,0.0,0.15943,2017-12-13,23:00:00,0.00198,1.06699
192,0.0,-5.354,60.6,2.5,81850.0,0.0,0.09984,2017-12-14,00:00:00,0.0019,1.06474
193,0.0,-5.754,73.2,3.0,81780.0,0.0,0.09984,2017-12-14,01:00:00,0.00223,1.06542
194,0.0,-5.954,77.2,2.2,81700.0,0.0,0.09984,2017-12-14,02:00:00,0.00232,1.06518
195,0.0,-5.954,75.8,4.5,81630.0,0.0,0.09984,2017-12-14,03:00:00,0.00227,1.06427
196,0.0,-7.054,84.8,2.0,81610.0,0.0,0.09984,2017-12-14,04:00:00,0.00234,1.0684
197,0.0,-5.054,80.7,5.6,81570.0,0.0,0.09984,2017-12-14,05:00:00,0.0026,1.05991
198,0.0,-4.354,78.5,6.9,81560.0,0.0,0.09984,2017-12-14,06:00:00,0.00266,1.05702
199,4.0,-4.454,80.4,7.4,81580.0,0.0,0.09984,2017-12-14,07:00:00,0.00271,1.05768
200,42.0,-4.454,82.0,6.8,81580.0,0.0,0.5269,2017-12-14,08:00:00,0.00276,1.05768
201,212.0,-3.554,78.6,8.4,81560.0,0.0,0.24996,2017-12-14,09:00:00,0.00283,1.05389
202,377.0,-1.554,66.0,7.5,81500.0,0.0,0.04036,2017-12-14,10:00:00,0.00276,1.04536
203,412.0,-0.354,65.6,7.1,81440.0,0.0,0.02,2017-12-14,11:00:00,0.003,1.03999
204,295.0,-0.254,63.4,8.9,81400.0,0.0,0.22493,2017-12-14,12:00:00,0.00292,1.0391
205,267.0,-1.054,67.8,7.3,81390.0,0.0,0.15045,2017-12-14,13:00:00,0.00295,1.04203
206,106.0,-0.554,60.0,6.5,81330.0,0.0,0.41966,2017-12-14,14:00:00,0.0027,1.03935
207,15.0,-0.754,61.5,7.0,81290.0,0.0,0.59167,2017-12-14,15:00:00,0.00273,1.0396
208,0.0,-1.054,62.7,6.9,81270.0,0.0,0.22044,2017-12-14,16:00:00,0.00273,1.04049
209,0.0,-2.054,67.1,5.8,81250.0,0.0,0.22044,2017-12-14,17:00:00,0.00271,1.04407
210,0.0,-1.754,65.4,5.2,81180.0,0.0,0.22044,2017-12-14,18:00:00,0.0027,1.04202
211,0.0,-1.354,68.8,6.4,81150.0,0.0,0.22044,2017-12-14,19:00:00,0.00293,1.0401
212,0.0,-1.654,74.7,5.0,81070.0,0.0,0.22044,2017-12-14,20:00:00,0.00312,1.04022
213,0.0,-1.454,70.4,5.3,81020.0,0.0,0.22044,2017-12-14,21:00:00,0.00298,1.03882
214,0.0,-1.754,73.4,7.4,80980.0,0.0,0.22044,2017-12-14,22:00:00,0.00304,1.03945
215,0.0,-1.554,73.4,7.9,80950.0,0.0,0.22044,2017-12-14,23:00:00,0.00309,1.0383
216,0.0,-1.754,74.1,6.7,80880.0,0.0,0.09286,2017-12-15,00:00:00,0.00308,1.03817
217,0.0,-1.654,75.5,6.6,80820.0,0.0,0.09286,2017-12-15,01:00:00,0.00316,1.03702
218,0.0,-1.754,77.4,6.0,80790.0,0.0,0.09286,2017-12-15,02:00:00,0.00322,1.03701
219,0.0,-1.754,78.9,4.7,80830.0,0.0,0.09286,2017-12-15,03:00:00,0.00328,1.03753
220,0.0,-2.754,91.8,1.5,80920.0,0.0009,0.09286,2017-12-15,04:00:00,0.00354,1.04252
221,0.0,-2.854,90.7,1.6,80920.0,0.0006,0.09286,2017-12-15,05:00:00,0.00347,1.04291
222,0.0,-3.654,94.8,1.0,80960.0,0.0005,0.09286,2017-12-15,06:00:00,0.00342,1.04652
223,7.0,-4.254,96.9,1.2,80930.0,0.0001,0.09286,2017-12-15,07:00:00,0.00334,1.04847
224,78.0,-5.354,96.7,1.6,80940.0,0.0,0.19537,2017-12-15,08:00:00,0.00307,1.05291
225,108.0,-4.054,92.5,0.7,81010.0,0.0,0.61791,2017-12-15,09:00:00,0.00323,1.04873
226,134.0,-3.654,89.4,0.6,81010.0,0.0,0.65891,2017-12-15,10:00:00,0.00322,1.04717
227,189.0,-2.854,80.1,1.1,80990.0,0.0,0.55044,2017-12-15,11:00:00,0.00306,1.04381
228,166.0,-3.354,71.0,1.9,80960.0,0.0,0.55185,2017-12-15,12:00:00,0.00262,1.04536
229,217.0,-3.154,64.8,2.6,80930.0,0.0,0.30955,2017-12-15,13:00:00,0.00242,1.0442
230,162.0,-4.154,64.7,2.9,80920.0,0.0,0.11307,2017-12-15,14:00:00,0.00224,1.04795
